Étel;Ár;Megrendelő Név;Email cím;Távolság;Főzés időpontja
Tatárbeefsteak, zöldségekkel , pirítóssal;1990Ft;Gipsz Jakab;gipsz.jakab@valami.hu;50km;2021.02.07.
Hideg kacsamáj zsírjában;1990F;Gipsz Gizi;gipsz.jakab@valami.hu;2km;2021.02.07.
Gulyásleves házi csipetkével;950Ft;Gipsz Jakab;gipsz.jakab@valami.hu;33km;2021.02.07.
Jérceleves cérnametélttel, zöldségekkel;990Ft;Gipsz Jakab;gipsz.jakab@valami.hu;78km;2021.02.07.
Hideg gyümölcsleves;990Ft;Gipsz Jakab;gipsz.jakab@valami.hu;5km;2021.02.07.
Klasszikus töltött káposzta;1990Ft;Gipsz Jakab;gipsz.jakab@valami.hu;8km;2021.02.07.
Kelkáposzta főzelék;1190Ft;Gipsz Jakab;gipsz.jakab@valami.hu;22km;2021.02.07.
Bakonyi csirkeragu;1290Ft;Gipsz Jakab;gipsz.jakab@valami.hu;14km;2021.02.07.
Hagyományos brassói;1380Ft;Gipsz Jakab;gipsz.jakab@valami.hu;8km;2021.02.07.
Hagyományos pásztortarhonya;1490Ft;Gipsz Jakab;gipsz.jakab@valami.hu;121km;2021.02.07.
Somlói galuska;1280Ft;Gipsz Jakab;gipsz.jakab@valami.hu;3km;2021.02.07.
Palacsinta választható ízben;350Ft/db;Gipsz Jakab;gipsz.jakab@valami.hu;67km;2021.02.07.
